date	NYC	SF
20060314	664000	660000
20070722	665000	660000
20070801	649000	660000
20100623	678000	660000
20130906	599000	660000
20050819	599000	661000
20150811	661500	661500
20140826	599000	662000
20050707	579000	662500
20051103	649000	663000
20110809	679000	664000
20050701	599000	665000
20060414	659000	665000
20060620	659000	665000
20100721	665000	665000
20100903	699000	665000
20111130	665000	665000
20120501	689000	667000
20040525	669000	669000
20040528	669000	669000
20040601	669000	669000
20041103	669000	669000
20080408	669000	669000
20080605	679000	669000
20131011	669000	669000
20050207	579000	670000
20050622	519000	670000
20080912	679000	670000
20090306	695000	670000
20101112	689000	670000
20120620	670000	670000
20170818	588000	670000
20040812	569000	671000
20130228	599000	672250
20050228	675000	675000
20050824	599000	675000
20050901	649000	675000
20051229	659000	675000
20060321	649000	675000
20060512	675000	675000
20070330	658000	675000
20071012	699000	675000
20130327	599000	675000
20130531	599000	675000
20130930	649000	675000
20170310	625000	675000
20061109	689000	677000
20130426	639000	677500
20040528	639000	678000
20060929	678000	678000
20131113	599000	678000
20061122	649000	679000
20070308	679000	679000
20070502	679000	679000
20131220	630000	679000
20050830	659000	680000
20100521	699000	680000
20130604	579000	680000
20130819	599000	680000
20051026	625000	681000
20140502	682000	682000
20051215	629000	685000
20071126	699000	685000
20121127	649000	685000
20041206	679000	687000
20130418	649000	688000
20040526	699000	689000
20040528	689000	689000
20040602	689000	689000
20050614	689000	689000
20100427	699000	689000
20050616	599000	690000
20050718	619000	690000
20051110	650000	690000
20051114	669000	690000
20130315	649000	690000
20130516	699000	690000
20050331	695000	695000
20071128	695000	695000
20130625	649000	695000
20131011	629000	695000
20131221	699000	695000
20140228	659000	695000
20131113	699000	697500
20040528	699000	699000
20040602	699000	699000
20060728	699000	699000
20060814	669000	699000
20071018	699000	699000
20080613	699000	699000
20120725	699000	699000
20050323	589000	700000
20050902	695000	700000
20080730	725000	700000
20130515	639000	700000
20130723	635000	700000
20130924	659000	700000
20140124	649000	700000
20140617	649000	700000
20150521	599000	700000
20180716	739000	700000
20050922	649000	701000
20130919	599000	701000
20070228	685000	703000
20070308	703390	703390
20050729	699000	705000
20050930	649000	705000
20100413	679000	705000
20120612	595000	705000
20130919	599000	705000
20140429	599000	705000
20170616	625000	705000
20141017	599000	708000
20000630	699000	710000
20040209	710000	710000
20041123	699000	710000
20060203	699000	710000
20101229	695000	710000
20130719	599000	710000
20130925	649000	710000
20140613	699000	710000
20060322	699000	711000
20070309	713072	713072
20050812	599000	715000
20061019	729000	715000
20120626	629000	715000
20130926	649000	715000
20131122	729000	715000
20061018	729000	718000
20040527	719000	719000
20061101	739000	719000
20000727	699000	720000
20060224	729000	720000
20060428	715000	720000
20070817	759000	720000
20130502	649000	720000
20130830	699000	720000
20140922	698000	720000
20130503	649000	722000
20040430	725000	725000
20050218	725000	725000
20120507	699000	725000
20121219	725000	725000
20130621	649000	725000
20130815	689000	725000
20140808	725000	725000
20160902	675000	725000
20000303	689000	730000
20050719	649000	730000
20050819	699000	730000
20070706	749000	730000
20140512	665000	730000
20161107	699000	730000
20150817	733500	733500
20050407	599000	735000
20140725	729000	735000
20130924	649000	736500
20010320	739000	739000
20040609	739000	739000
20140219	699000	740000
20140919	699000	740000
20150317	699000	741500
20131209	679000	742000
20130412	699000	743000
20070309	749000	745000
20140829	699000	745000
20080124	749000	749000
20170328	749000	749000
20050317	675000	750000
20050425	689000	750000
20050610	738000	750000
20130517	675000	750000
20130726	659000	750000
20130904	655000	750000
20140221	679000	750000
20140326	649000	750000
20151203	699000	750000
20160601	695000	750000
20160610	750000	750000
20170221	749000	750000
20141103	699000	750888
20140611	695000	751000
20131001	733809	752000
20140711	699000	752000
20161212	829000	752000
20140310	699000	755000
20140502	640000	756000
20070627	775000	760000
20140716	649000	760000
20140814	759000	760000
20170214	799000	760000
20130611	699000	761000
20081205	785000	765000
20130220	699000	765000
20170831	699000	765000
20151223	769000	769000
20130625	749000	770000
20130911	699000	770000
20151123	770000	770000
20051209	749000	775000
20060427	749000	775000
20060607	765000	775000
20150508	695000	775000
20150710	699000	775000
20151105	750000	775000
20171114	688000	775000
20160815	749000	779000
20060406	749000	780000
20080808	819000	780000
20130726	749000	780000
20140627	699000	780000
20170621	799000	780000
20171012	790000	780000
20130820	725000	785000
20160502	735000	785000
20131105	699000	786500
20050920	779000	790000
20140829	695000	790000
20141218	799000	790000
20150428	729500	790000
20160115	749000	790000
20051118	799000	799000
20070119	799000	799000
20180216	799000	799000
20180406	799000	799000
20050408	669000	800000
20060404	749000	800000
20130731	699000	800000
20171009	799888	802888
20180105	849000	805000
20140307	749000	810000
20150529	789000	810000
20041130	825000	815000
20131010	729000	815000
20170719	799000	815000
20080729	849000	820000
20130619	699000	820000
20160308	799000	820000
20160613	799000	820000
20180209	829000	820000
20060503	825000	825000
20130829	749000	825000
20140512	749000	825000
20151109	779000	825000
20160914	759000	825000
20161026	879000	825000
20070525	795000	830000
20160602	749000	830000
20161007	799000	830000
20170208	789000	830000
20050608	849000	835000
20171025	779000	835000
20030701	879000	840000
20040325	859000	840000
20050609	825000	840000
20130416	849000	845250
20031211	995000	850000
20140224	799000	850000
20140516	749000	850000
20140828	835000	850000
20141230	849000	850000
20160527	850000	850000
20160620	798000	850000
20170303	899000	850000
20171016	799000	850000
20180507	798000	850000
20130405	699000	855000
20160310	799000	855000
20161214	885000	855000
20051230	899000	857500
20150701	799000	860000
20161202	889000	860000
20070504	880000	870000
20160729	778000	870000
20171006	895000	870000
20141021	745000	874700
20050711	899000	875000
20091102	895000	875000
20140530	849000	875000
20160224	875000	875000
20170303	899000	875000
20171205	825000	875000
20170504	879000	879000
20180716	779000	880000
20110728	929000	885000
20150724	779000	885000
20160711	879000	890000
20170815	875000	890000
20080320	899000	899000
20170908	899000	899000
20180601	899000	899000
20151120	829000	900000
20160727	895000	900000
20160825	875000	900000
20180420	849000	900000
20150312	849000	901000
20151120	869000	905000
20170425	899000	905000
20140711	925000	910000
20150916	825000	912000
20180524	829000	915000
20171204	949000	919000
20171222	899000	920000
20180202	895000	920000
20141016	849000	925000
20150130	759000	925000
20171218	849000	928000
20141017	789000	930000
20061214	932982	932982
20151014	829000	935000
20180508	749000	935000
20180612	899000	935000
20150724	879000	938000
20150619	899000	950000
20150623	895000	950000
20160422	929000	950000
20160512	850000	950000
20161014	899000	950000
20180522	995000	950000
20050901	925000	955000
20180206	899000	955000
20160325	899000	958000
20150430	849000	960000
20150729	899000	960000
20151218	949000	969000
20171229	949000	970000
20151006	849000	975000
20160107	889000	975000
20151007	995000	978000
20180123	1025000	982500
20150326	835000	985000
20160505	879000	985000
20170224	988000	988000
20170510	989000	990000
20161104	989000	1000000
20170627	988000	1000000
20180629	940000	1000000
20140701	1100000	1013000
20170331	1049000	1020000
20180611	949000	1021000
20160329	1040000	1040000
20140226	849000	1050000
20050506	899000	1070000
20171122	1095000	1095000
20061206	1100000	1100000
20160328	950000	1100000
20180531	929000	1100000
20180719	998000	1100000
20180507	1049000	1125000
20040305	1150000	1130000
20150313	1099000	1135000
20150429	1088000	1145000
20140909	1199000	1150000
20171212	1098000	1155000
20150224	1149000	1175000
20171031	1150000	1175000
20070427	1200000	1200000
20070604	1200000	1200000
20151007	1149000	1200000
20160222	1225000	1230000
20180522	1199000	1240000
20130305	1295000	1295000
20150428	1365000	1440000
20140829	1200000	1450000
20061117	1500000	1500000
20150522	1799000	1770000
20161101	2050000	2050000
